"PRAIRIE VIEW AGRI & MECH UNIVERSITY",""
"LA GUARDIA COMMUNITY COLLEGE",""
"SUNY COLLEGE AT NEW PALTZ",""
"UNIVERSITY OF KANSAS MEDICAL CENTER",""
"DOWLING COLLEGE",""
"PHILADELPHIA COLLEGE OF OSTEOPATHIC MED",""
"LINCOLN UNIVERSITY",""
"MERCY COLLEGE",""
"CHILDREN'S NATIONAL MEDICAL CENTER",""
"CENTER FOR RESEARCH TO PRACTICE, INC.",""
"CENTRAL CONNECTICUT STATE UNIVERSITY",""
"MONTGOMERY COLLEGE",""
"ORLANDO REGIONAL HEALTHCARE SYSTEM, INC.",""
"VACCINE RESEARCH INSTITUTE OF SAN DIEGO",""
"LITTLE BIG HORN COLLEGE",""
"ORTHOPAEDIC HOSPITAL",""
"GEORGIA  HEALTH SCIENCES UNIVERSITY",""
"CHILDREN'S HOSPITAL MEDICAL CENTER CINCI",""
"UNIVERSITY OF SOUTH CAROLINA",""
"SANTA CLARA UNIVERSITY",""
"STATE UNIVERSITY NEW YORK BINGHAMTON",""
"UNIVERSITY OF HOUSTON-CLEAR LAKE",""
"SAM HOUSTON STATE UNIVERSITY",""
"UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT",""
"MC LAUGHLIN RESEARCH INSTITUTE",""
"UNIVERSITY OF LA VERNE",""
"FERRIS STATE UNIVERSITY",""
"MAYO CLINIC",""
"MIDWEST BIOMEDICAL RESEARCH FOUNDATION",""
"KEAN UNIVERSITY",""
"WINSTON-SALEM STATE UNIVERSITY",""
"GONZAGA UNIVERSITY",""
"HAVERFORD COLLEGE",""
"SCOTT AND WHITE MEMORIAL HOSPITAL",""
"UNIVERSITY OF ALABAMA IN HUNTSVILLE",""
"LAWRENCE UNIVERSITY",""
"UNIVERSITY OF CALIFORNIA SAN DIEGO",""
"ST. NORBERT COLLEGE",""
"COLGATE UNIVERSITY",""
"GRAND VALLEY STATE UNIVERSITY",""
"COLBY COLLEGE",""
"AKRON GENERAL MEDICAL CENTER",""
"NORTHERN MICHIGAN UNIVERSITY",""
"CENTER FOR APPLIED LINGUISTICS",""
"GENETIC ALLIANCE, INC.",""
"ASSUMPTION COLLEGE",""
"HOUSTON ACADEMY OF MED-TEXAS MED CTR LIB",""
"CENTRAL NEW YORK RESEARCH CORPORATION",""
"FRANKLIN W. OLIN COLLEGE OF ENGINEERING",""
"MOUNTAIN STATES GROUP, INC.",""
"UNIVERSITY OF SAN DIEGO",""
"ST. JOSEPH'S HOSPITAL",""
"RADFORD UNIVERSITY",""
"NATIONAL CHILDHOOD CANCER FOUNDATION",""
"AERAS GLOBAL TB VACCINE FOUNDATION",""
"HAMLINE UNIVERSITY",""
"DRAKE UNIVERSITY",""
"DOMINICAN UNIVERSITY",""
"CALIFORNIA INSTITUTE FOR MEDICAL RES",""
"UNIVERSITY OF SAN FRANCISCO",""
"MASSACHUSETTS STATE DEPT OF PUB HEALTH",""
"CHINESE COMMUNITY HEALTH RESOURCE CENTER",""
"BALTIMORE CITY HEALTHY START, INC.",""
"MASS COLLEGE OF PHARM HEALTH SCIENCES",""
"INTERNATIONAL BREAST CANCER RESEARCH FDN",""
"UNIVERSITY OF CONNECTICUT HEALTH SCIENCE CENTER",""
"WEST CHESTER UNIVERSITY OF PENNSYLVANIA",""
"BOSTON UNIVERSITY",""
"UNIVERSITY OF TENNESSEE SPACE INSTITUTE",""
"UNIVERSITY OF WEST GEORGIA",""
"UNIVERSITY OF THE INCARNATE WORD",""
"SAINT THOMAS UNIVERSITY",""
"UNIVERSIDAD METROPOLITANA",""
"CUYAHOGA COMMUNITY COLLEGE",""
"LEWIS AND CLARK COLLEGE",""
"AMHERST COLLEGE",""
"APPALACHIAN STATE UNIVERSITY",""
"NAT'L COALITION/HLTH PROFESS ED/GENETICS",""
"NORTHWEST INDIAN COLLEGE",""
"WALSH UNIVERSITY",""
"WESTERN MICHIGAN UNIVERSITY",""
"SOUTHERN ILLINOIS UNIV AT EDWARDSVILLE",""
"IMMUNE DISEASE INSTITUTE, INC.",""
"SINGING RIVER HEALTH SYSTEM",""
"HASKELL INDIAN NATIONS UNIVERSITY",""
"MOUNT ST. MARY'S COLLEGE",""
"OBERLIN COLLEGE",""
